Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Deebo Samuel Sr.,5,5,97,19.4,40,2,1,5,36,1,0,1,30.3,30.3,99.5%,SF,10,2021
2,Stefon Diggs,8,13,162,20.3,57,3,1,0,0,0,0,1,30.2,30.2,98.6%,HOU,10,2021
3,CeeDee Lamb,6,7,94,15.7,37,2,2,1,12,0,0,1,28.6,28.6,100.0%,DAL,10,2021
4,Tyreek Hill,7,10,83,11.9,32,1,2,1,2,0,0,1,27.5,27.5,100.0%,MIA,10,2021
5,Kendrick Bourne,4,4,98,24.5,48,2,1,3,43,0,0,1,24.1,24.1,4.6%,NE,10,2021
6,Cooper Kupp,11,13,122,11.1,29,2,0,0,0,0,0,1,23.2,23.2,98.6%,LAR,10,2021
7,Justin Jefferson,9,11,143,15.9,27,4,0,1,-4,0,0,1,22.9,22.9,100.0%,MIN,10,2021
8,DeVonta Smith,4,6,66,16.5,36,1,2,0,0,0,0,1,22.6,22.6,98.0%,PHI,10,2021
9,Bryan Edwards,3,4,88,29.3,37,3,1,0,0,0,0,1,17.8,17.8,0.0%,FA,10,2021
10,Keenan Allen,8,11,98,12.3,26,2,0,0,0,0,0,1,17.8,17.8,93.1%,CHI,10,2021
11,Hunter Renfrow,7,9,46,6.6,15,0,1,0,0,0,0,1,17.6,17.6,0.1%,FA,10,2021
12,Ray-Ray McCloud III,9,12,63,7.0,17,0,0,0,0,0,0,1,15.3,15.3,1.0%,ATL,10,2021
13,Marcus Johnson,5,6,100,20.0,50,1,0,0,0,0,0,1,15.0,15.0,0.0%,FA,10,2021
14,DeAndre Carter,3,6,56,18.7,22,2,1,1,4,0,0,1,15.0,15.0,0.0%,CHI,10,2021
15,Jakobi Meyers,4,4,49,12.3,26,1,1,0,0,0,0,1,14.9,14.9,61.4%,LV,10,2021
16,Davante Adams,7,11,78,11.1,34,1,0,0,0,0,0,1,14.8,14.8,99.8%,LV,10,2021
17,Byron Pringle,4,5,46,11.5,22,1,1,0,0,0,0,1,14.6,14.6,0.0%,WAS,10,2021
18,Albert Wilson,4,5,87,21.8,64,1,0,2,19,0,0,1,14.6,14.6,0.0%,FA,10,2021
19,Tre'Quan Smith,4,7,44,11.0,21,1,1,0,0,0,0,1,14.4,14.4,0.1%,DET,10,2021
20,Mike Evans,2,3,62,31.0,40,2,1,0,0,0,0,1,14.2,14.2,99.7%,TB,10,2021
21,Rashod Bateman,6,8,80,13.3,30,2,0,0,0,0,0,1,14.0,14.0,10.1%,BAL,10,2021
22,Jamal Agnew,0,5,0,0.0,0,0,0,3,79,1,0,1,13.9,13.9,0.0%,FA,10,2021
23,Robbie Chosen,4,6,37,9.3,17,0,1,0,0,0,0,1,13.7,13.7,0.0%,MIA,10,2021
24,Gabe Davis,3,3,105,35.0,49,3,0,0,0,0,0,1,13.5,13.5,42.9%,JAC,10,2021
25,Elijah Moore,3,6,44,14.7,25,1,1,0,0,0,0,1,13.4,13.4,1.4%,CLE,10,2021
26,Diontae Johnson,7,13,83,11.9,36,2,0,0,0,0,1,1,13.3,13.3,90.7%,CAR,10,2021
27,Christian Kirk,7,8,58,8.3,20,1,0,0,0,0,0,1,12.8,12.8,90.9%,JAC,10,2021
28,Chris Godwin,7,8,57,8.1,15,0,0,0,0,0,0,1,12.7,12.7,92.8%,TB,10,2021
29,Isaiah Ford,4,4,84,21.0,52,1,0,0,0,0,0,1,12.4,12.4,0.0%,FA,10,2021
30,Corey Davis,5,7,93,18.6,28,2,0,0,0,0,1,1,12.3,12.3,0.0%,FA,10,2021
31,Michael Pittman Jr.,5,5,71,14.2,27,1,0,0,0,0,0,1,12.1,12.1,98.6%,IND,10,2021
32,Terry McLaurin,6,8,59,9.8,21,1,0,0,0,0,0,1,11.9,11.9,93.6%,WAS,10,2021
33,Marquez Callaway,2,4,37,18.5,22,1,1,0,0,0,0,1,11.7,11.7,0.0%,FA,10,2021
34,Adam Thielen,5,7,65,13.0,19,0,0,0,0,0,0,1,11.5,11.5,46.2%,CAR,10,2021
35,Jerry Jeudy,6,9,48,8.0,15,0,0,1,3,0,0,1,11.1,11.1,57.0%,CLE,10,2021
36,Amon-Ra St. Brown,4,6,61,15.3,30,1,0,0,0,0,0,1,10.1,10.1,100.0%,DET,10,2021
37,Jaylen Waddle,4,6,61,15.3,35,1,0,0,0,0,0,1,10.1,10.1,97.7%,MIA,10,2021
38,Deonte Harty,3,4,84,28.0,46,2,0,1,6,0,1,1,10.0,10.0,0.1%,BAL,10,2021
39,Isaiah McKenzie,1,3,12,12.0,12,0,0,2,17,1,0,1,9.9,9.9,0.0%,NYG,10,2021
40,Marquise Brown,6,13,37,6.2,11,0,0,0,0,0,0,1,9.7,9.7,76.0%,KC,10,2021
41,James Washington,2,6,15,7.5,9,0,1,0,0,0,0,1,9.5,9.5,0.0%,FA,10,2021
42,Amari Cooper,4,4,51,12.8,22,1,0,0,0,0,0,1,9.1,9.1,95.7%,CLE,10,2021
43,Devin Duvernay,4,4,28,7.0,11,0,0,1,19,0,0,1,8.7,8.7,0.1%,JAC,10,2021
44,Van Jefferson,3,7,54,18.0,33,1,0,0,0,0,0,1,8.4,8.4,0.9%,PIT,10,2021
45,Mike Williams,4,6,33,8.3,11,0,0,0,0,0,0,1,7.3,7.3,57.9%,NYJ,10,2021
46,Quez Watkins,4,6,33,8.3,18,0,0,0,0,0,0,1,7.3,7.3,0.0%,PIT,10,2021
47,Michael Gallup,3,5,42,14.0,23,1,0,0,0,0,0,1,7.2,7.2,0.1%,FA,10,2021
48,Emmanuel Sanders,2,2,27,13.5,16,0,0,1,24,0,0,1,7.1,7.1,0.0%,FA,10,2021
49,Kalif Raymond,4,6,29,7.3,12,0,0,0,0,0,0,1,6.9,6.9,0.7%,DET,10,2021
50,Jarvis Landry,4,5,26,6.5,11,0,0,0,0,0,0,1,6.6,6.6,14.0%,FA,10,2021
51,DJ Moore,4,7,24,6.0,10,0,0,0,0,0,0,1,6.4,6.4,98.5%,CHI,10,2021
52,Brandon Aiyuk,3,4,26,8.7,21,1,0,0,0,0,0,1,5.6,5.6,99.4%,SF,10,2021
53,DK Metcalf,3,8,26,8.7,18,0,0,0,0,0,0,1,5.6,5.6,99.1%,SEA,10,2021
54,Marvin Jones Jr.,2,6,35,17.5,23,1,0,0,0,0,0,1,5.5,5.5,0.0%,FA,10,2021
55,Demarcus Robinson,3,4,23,7.7,13,0,0,0,0,0,0,1,5.3,5.3,9.6%,LAR,10,2021
56,Joshua Palmer,3,4,22,7.3,13,0,0,0,0,0,0,1,5.2,5.2,45.7%,LAC,10,2021
57,Laviska Shenault Jr.,3,8,15,5.0,6,0,0,2,6,0,0,1,5.1,5.1,0.1%,SEA,10,2021
